text,text_clean,sentiment,target
ok thanks #9057,ok thanks,neutral,1
hate this update #9782,hate update,negative,0
would not recommend #5842,would recommend,negative,0
totally disappointed with this #7580,totally disappointed,negative,0
noted for the record #2618,note record,neutral,1
so happy with this #4717,happy,positive,2
this made my day #8372,make day,positive,2
waste of time #7535,waste time,negative,0
ok thanks #951,ok thanks,neutral,1
so happy with this #2805,happy,positive,2
worst experience ever #4337,bad experience ever,negative,0
ok thanks #7560,ok thanks,neutral,1
noted for the record #111,note record,neutral,1
the meeting is at 3pm #1265,meeting 3pm,neutral,1
fantastic support team #8518,fantastic support team,positive,2
so happy with this #9618,happy,positive,2
ok thanks #9866,ok thanks,neutral,1
the meeting is at 3pm #7808,meeting 3pm,neutral,1
highly recommend #4380,highly recommend,positive,2
standard procedure #5630,standard procedure,neutral,1
will follow up later #8218,follow later,neutral,1
so frustrated right now #7251,frustrate right,negative,0
the meeting is at 3pm #6741,meeting 3pm,neutral,1
best day ever #3566,best day ever,positive,2
best day ever #915,best day ever,positive,2
as expected #5071,expect,neutral,1
best day ever #2685,best day ever,positive,2
the meeting is at 3pm #5006,meeting 3pm,neutral,1
as expected #6312,expect,neutral,1
fantastic support team #9922,fantastic support team,positive,2
would not recommend #5176,would recommend,negative,0
so frustrated right now #9821,frustrate right,negative,0
hate this update #2883,hate update,negative,0
standard procedure #8816,standard procedure,neutral,1
standard procedure #8693,standard procedure,neutral,1
would not recommend #3476,would recommend,negative,0
this is awful #6947,awful,negative,0
loving this so much #5433,love much,positive,2
fantastic support team #2052,fantastic support team,positive,2
so happy with this #4805,happy,positive,2
waste of time #265,waste time,negative,0
highly recommend #7212,highly recommend,positive,2
hate this update #1106,hate update,negative,0
waste of time #3736,waste time,negative,0
noted for the record #4033,note record,neutral,1
waste of time #8627,waste time,negative,0
great experience #3527,great experience,positive,2
link attached for reference #505,link attach reference,neutral,1
this is awful #5521,awful,negative,0
so happy with this #7580,happy,positive,2
terrible quality #8896,terrible quality,negative,0
link attached for reference #5122,link attach reference,neutral,1
totally disappointed with this #7030,totally disappointed,negative,0
would not recommend #358,would recommend,negative,0
will follow up later #2383,follow later,neutral,1
ok thanks #3767,ok thanks,neutral,1
would not recommend #7803,would recommend,negative,0
best day ever #4869,best day ever,positive,2
will follow up later #5057,follow later,neutral,1
best day ever #6593,best day ever,positive,2
highly recommend #2994,highly recommend,positive,2
this is awful #8790,awful,negative,0
standard procedure #9993,standard procedure,neutral,1
great experience #6986,great experience,positive,2
best day ever #3460,best day ever,positive,2
this is awful #998,awful,negative,0
as expected #2299,expect,neutral,1
worst experience ever #9845,bad experience ever,negative,0
standard procedure #5804,standard procedure,neutral,1
as expected #2089,expect,neutral,1
terrible quality #8041,terrible quality,negative,0
highly recommend #8121,highly recommend,positive,2
standard procedure #4468,standard procedure,neutral,1
this made my day #1381,make day,positive,2
see you tomorrow #1894,see tomorrow,neutral,1
fantastic support team #2354,fantastic support team,positive,2
ok thanks #6104,ok thanks,neutral,1
terrible quality #6177,terrible quality,negative,0
great experience #639,great experience,positive,2
excellent quality #4323,excellent quality,positive,2
as expected #2923,expect,neutral,1
this is awful #9813,awful,negative,0
best day ever #1187,best day ever,positive,2
worst experience ever #1397,bad experience ever,negative,0
hate this update #4741,hate update,negative,0
so frustrated right now #3393,frustrate right,negative,0
standard procedure #2094,standard procedure,neutral,1
fantastic support team #5219,fantastic support team,positive,2
great experience #3121,great experience,positive,2
so happy with this #5418,happy,positive,2
best day ever #9492,best day ever,positive,2
great experience #644,great experience,positive,2
would not recommend #248,would recommend,negative,0
terrible quality #1835,terrible quality,negative,0
great experience #4739,great experience,positive,2
best day ever #1900,best day ever,positive,2
highly recommend #9512,highly recommend,positive,2
so happy with this #2742,happy,positive,2
ok thanks #8119,ok thanks,neutral,1
link attached for reference #8230,link attach reference,neutral,1
fantastic support team #7270,fantastic support team,positive,2
would not recommend #3224,would recommend,negative,0
worst experience ever #9706,bad experience ever,negative,0
as expected #448,expect,neutral,1
would not recommend #5540,would recommend,negative,0
so happy with this #2036,happy,positive,2
see you tomorrow #5620,see tomorrow,neutral,1
waste of time #4941,waste time,negative,0
worst experience ever #9400,bad experience ever,negative,0
will follow up later #2446,follow later,neutral,1
totally disappointed with this #369,totally disappointed,negative,0
loving this so much #1531,love much,positive,2
this made my day #2576,make day,positive,2
terrible quality #1999,terrible quality,negative,0
link attached for reference #6186,link attach reference,neutral,1
this is awful #4817,awful,negative,0
ok thanks #7331,ok thanks,neutral,1
highly recommend #4725,highly recommend,positive,2
the meeting is at 3pm #2375,meeting 3pm,neutral,1
noted for the record #3460,note record,neutral,1
ok thanks #4674,ok thanks,neutral,1
noted for the record #3709,note record,neutral,1
this made my day #5003,make day,positive,2
so happy with this #8409,happy,positive,2
excellent quality #3133,excellent quality,positive,2
loving this so much #7278,love much,positive,2
see you tomorrow #6266,see tomorrow,neutral,1
noted for the record #8366,note record,neutral,1
highly recommend #7809,highly recommend,positive,2
best day ever #5093,best day ever,positive,2
loving this so much #6478,love much,positive,2
loving this so much #7599,love much,positive,2
terrible quality #5792,terrible quality,negative,0
so frustrated right now #4907,frustrate right,negative,0
this is awful #6745,awful,negative,0
see you tomorrow #713,see tomorrow,neutral,1
so happy with this #7950,happy,positive,2
so happy with this #2706,happy,positive,2
totally disappointed with this #572,totally disappointed,negative,0
would not recommend #9808,would recommend,negative,0
hate this update #3929,hate update,negative,0
would not recommend #2269,would recommend,negative,0
loving this so much #4512,love much,positive,2
terrible quality #7555,terrible quality,negative,0
loving this so much #5030,love much,positive,2
as expected #5951,expect,neutral,1
fantastic support team #5218,fantastic support team,positive,2
ok thanks #5009,ok thanks,neutral,1
loving this so much #3951,love much,positive,2
noted for the record #395,note record,neutral,1
hate this update #6753,hate update,negative,0
the meeting is at 3pm #9301,meeting 3pm,neutral,1
will follow up later #5489,follow later,neutral,1
waste of time #1954,waste time,negative,0
totally disappointed with this #5901,totally disappointed,negative,0
great experience #1433,great experience,positive,2
so frustrated right now #4646,frustrate right,negative,0
waste of time #4063,waste time,negative,0
standard procedure #1491,standard procedure,neutral,1
fantastic support team #9596,fantastic support team,positive,2
totally disappointed with this #1106,totally disappointed,negative,0
waste of time #9986,waste time,negative,0
fantastic support team #6518,fantastic support team,positive,2
see you tomorrow #5881,see tomorrow,neutral,1
the meeting is at 3pm #2152,meeting 3pm,neutral,1
ok thanks #7161,ok thanks,neutral,1
best day ever #5471,best day ever,positive,2
fantastic support team #2499,fantastic support team,positive,2
link attached for reference #8568,link attach reference,neutral,1
standard procedure #4185,standard procedure,neutral,1
will follow up later #8192,follow later,neutral,1
excellent quality #5899,excellent quality,positive,2
totally disappointed with this #400,totally disappointed,negative,0
the meeting is at 3pm #449,meeting 3pm,neutral,1
excellent quality #1060,excellent quality,positive,2
ok thanks #4201,ok thanks,neutral,1
totally disappointed with this #3763,totally disappointed,negative,0
would not recommend #7434,would recommend,negative,0
will follow up later #5486,follow later,neutral,1
loving this so much #4300,love much,positive,2
so happy with this #9166,happy,positive,2
excellent quality #706,excellent quality,positive,2
hate this update #1703,hate update,negative,0
this is awful #473,awful,negative,0
this made my day #2802,make day,positive,2
best day ever #2550,best day ever,positive,2
noted for the record #2680,note record,neutral,1
will follow up later #9269,follow later,neutral,1
this made my day #7543,make day,positive,2
ok thanks #3095,ok thanks,neutral,1
the meeting is at 3pm #7283,meeting 3pm,neutral,1
highly recommend #835,highly recommend,positive,2
excellent quality #4016,excellent quality,positive,2
great experience #2404,great experience,positive,2
terrible quality #9488,terrible quality,negative,0
so happy with this #7092,happy,positive,2
see you tomorrow #6131,see tomorrow,neutral,1
see you tomorrow #2195,see tomorrow,neutral,1
will follow up later #5002,follow later,neutral,1
standard procedure #7653,standard procedure,neutral,1
highly recommend #1837,highly recommend,positive,2
see you tomorrow #137,see tomorrow,neutral,1
fantastic support team #1723,fantastic support team,positive,2
terrible quality #8539,terrible quality,negative,0
will follow up later #3163,follow later,neutral,1
highly recommend #9865,highly recommend,positive,2
this made my day #1923,make day,positive,2
terrible quality #859,terrible quality,negative,0
ok thanks #7972,ok thanks,neutral,1
best day ever #199,best day ever,positive,2
great experience #883,great experience,positive,2
the meeting is at 3pm #6813,meeting 3pm,neutral,1
worst experience ever #2339,bad experience ever,negative,0
excellent quality #9439,excellent quality,positive,2
worst experience ever #239,bad experience ever,negative,0
highly recommend #30,highly recommend,positive,2
ok thanks #1853,ok thanks,neutral,1
ok thanks #4482,ok thanks,neutral,1
highly recommend #6585,highly recommend,positive,2
hate this update #6342,hate update,negative,0
hate this update #525,hate update,negative,0
standard procedure #424,standard procedure,neutral,1
hate this update #7542,hate update,negative,0
worst experience ever #897,bad experience ever,negative,0
see you tomorrow #5221,see tomorrow,neutral,1
so happy with this #3205,happy,positive,2
waste of time #6997,waste time,negative,0
totally disappointed with this #2882,totally disappointed,negative,0
terrible quality #8165,terrible quality,negative,0
ok thanks #8682,ok thanks,neutral,1
link attached for reference #2645,link attach reference,neutral,1
would not recommend #1536,would recommend,negative,0
the meeting is at 3pm #9437,meeting 3pm,neutral,1
the meeting is at 3pm #4388,meeting 3pm,neutral,1
would not recommend #7347,would recommend,negative,0
fantastic support team #1052,fantastic support team,positive,2
loving this so much #7350,love much,positive,2
hate this update #9329,hate update,negative,0
waste of time #7051,waste time,negative,0
the meeting is at 3pm #8794,meeting 3pm,neutral,1
standard procedure #1430,standard procedure,neutral,1
excellent quality #9278,excellent quality,positive,2
as expected #1385,expect,neutral,1
totally disappointed with this #8841,totally disappointed,negative,0
this is awful #6347,awful,negative,0
highly recommend #2257,highly recommend,positive,2
see you tomorrow #1186,see tomorrow,neutral,1
see you tomorrow #158,see tomorrow,neutral,1
this is awful #9584,awful,negative,0
great experience #8323,great experience,positive,2
so happy with this #945,happy,positive,2
noted for the record #9474,note record,neutral,1
noted for the record #8005,note record,neutral,1
great experience #2566,great experience,positive,2
best day ever #9011,best day ever,positive,2
will follow up later #4259,follow later,neutral,1
so happy with this #4167,happy,positive,2
standard procedure #6176,standard procedure,neutral,1
link attached for reference #4946,link attach reference,neutral,1
so frustrated right now #4040,frustrate right,negative,0
see you tomorrow #3306,see tomorrow,neutral,1
as expected #5819,expect,neutral,1
so frustrated right now #8565,frustrate right,negative,0
noted for the record #5327,note record,neutral,1
great experience #1009,great experience,positive,2
would not recommend #1461,would recommend,negative,0
this made my day #6888,make day,positive,2
ok thanks #3453,ok thanks,neutral,1
highly recommend #9229,highly recommend,positive,2
ok thanks #8874,ok thanks,neutral,1
ok thanks #7814,ok thanks,neutral,1
as expected #2038,expect,neutral,1
great experience #8361,great experience,positive,2
highly recommend #7953,highly recommend,positive,2
this made my day #6940,make day,positive,2
highly recommend #3902,highly recommend,positive,2
link attached for reference #2720,link attach reference,neutral,1
excellent quality #573,excellent quality,positive,2
loving this so much #7569,love much,positive,2
best day ever #4375,best day ever,positive,2
ok thanks #310,ok thanks,neutral,1
link attached for reference #4452,link attach reference,neutral,1
so frustrated right now #9455,frustrate right,negative,0
ok thanks #3262,ok thanks,neutral,1
this is awful #4617,awful,negative,0
link attached for reference #4123,link attach reference,neutral,1
hate this update #446,hate update,negative,0
this made my day #9282,make day,positive,2
this is awful #4636,awful,negative,0
standard procedure #5332,standard procedure,neutral,1
noted for the record #8122,note record,neutral,1
would not recommend #7787,would recommend,negative,0
would not recommend #7168,would recommend,negative,0
standard procedure #7537,standard procedure,neutral,1
great experience #7235,great experience,positive,2
will follow up later #6013,follow later,neutral,1
as expected #1416,expect,neutral,1
this made my day #1655,make day,positive,2
link attached for reference #1628,link attach reference,neutral,1
as expected #967,expect,neutral,1
best day ever #1696,best day ever,positive,2
as expected #3940,expect,neutral,1
standard procedure #3898,standard procedure,neutral,1
hate this update #9891,hate update,negative,0
totally disappointed with this #3015,totally disappointed,negative,0
would not recommend #1018,would recommend,negative,0
the meeting is at 3pm #7340,meeting 3pm,neutral,1
terrible quality #5314,terrible quality,negative,0
highly recommend #207,highly recommend,positive,2
will follow up later #5488,follow later,neutral,1
this is awful #449,awful,negative,0
excellent quality #8178,excellent quality,positive,2
will follow up later #877,follow later,neutral,1
would not recommend #5338,would recommend,negative,0
so happy with this #584,happy,positive,2
link attached for reference #9319,link attach reference,neutral,1
noted for the record #6039,note record,neutral,1
waste of time #4693,waste time,negative,0
fantastic support team #4982,fantastic support team,positive,2
would not recommend #5993,would recommend,negative,0
ok thanks #5550,ok thanks,neutral,1
best day ever #9754,best day ever,positive,2
best day ever #3706,best day ever,positive,2
this made my day #7535,make day,positive,2
excellent quality #1085,excellent quality,positive,2
great experience #5087,great experience,positive,2
as expected #222,expect,neutral,1
totally disappointed with this #1646,totally disappointed,negative,0
noted for the record #6485,note record,neutral,1
this is awful #5389,awful,negative,0
hate this update #6942,hate update,negative,0
great experience #7783,great experience,positive,2
great experience #5740,great experience,positive,2
so frustrated right now #2963,frustrate right,negative,0
terrible quality #3341,terrible quality,negative,0
excellent quality #6493,excellent quality,positive,2
link attached for reference #7334,link attach reference,neutral,1
fantastic support team #1404,fantastic support team,positive,2
standard procedure #8937,standard procedure,neutral,1
best day ever #5619,best day ever,positive,2
will follow up later #4772,follow later,neutral,1
so frustrated right now #3545,frustrate right,negative,0
the meeting is at 3pm #9292,meeting 3pm,neutral,1
ok thanks #6063,ok thanks,neutral,1
standard procedure #2607,standard procedure,neutral,1
this is awful #5535,awful,negative,0
ok thanks #2874,ok thanks,neutral,1
hate this update #8714,hate update,negative,0
standard procedure #781,standard procedure,neutral,1
great experience #6173,great experience,positive,2
link attached for reference #4772,link attach reference,neutral,1
waste of time #9126,waste time,negative,0
as expected #1974,expect,neutral,1
this made my day #1525,make day,positive,2
totally disappointed with this #2968,totally disappointed,negative,0
as expected #1703,expect,neutral,1
excellent quality #5468,excellent quality,positive,2
terrible quality #7193,terrible quality,negative,0
link attached for reference #5826,link attach reference,neutral,1
ok thanks #4410,ok thanks,neutral,1
noted for the record #1919,note record,neutral,1
totally disappointed with this #2706,totally disappointed,negative,0
so happy with this #9651,happy,positive,2
ok thanks #5165,ok thanks,neutral,1
so happy with this #4792,happy,positive,2
hate this update #4162,hate update,negative,0
fantastic support team #3553,fantastic support team,positive,2
fantastic support team #3490,fantastic support team,positive,2
worst experience ever #3727,bad experience ever,negative,0
excellent quality #5758,excellent quality,positive,2
see you tomorrow #4473,see tomorrow,neutral,1
terrible quality #2058,terrible quality,negative,0
totally disappointed with this #4310,totally disappointed,negative,0
totally disappointed with this #7197,totally disappointed,negative,0
as expected #6779,expect,neutral,1
totally disappointed with this #2452,totally disappointed,negative,0
link attached for reference #6440,link attach reference,neutral,1
as expected #1366,expect,neutral,1
waste of time #7095,waste time,negative,0
totally disappointed with this #4885,totally disappointed,negative,0
highly recommend #3920,highly recommend,positive,2
so happy with this #8668,happy,positive,2
hate this update #2935,hate update,negative,0
worst experience ever #3204,bad experience ever,negative,0
would not recommend #1680,would recommend,negative,0
this made my day #8277,make day,positive,2
this is awful #4589,awful,negative,0
excellent quality #4870,excellent quality,positive,2
ok thanks #211,ok thanks,neutral,1
would not recommend #6390,would recommend,negative,0
standard procedure #7676,standard procedure,neutral,1
totally disappointed with this #5528,totally disappointed,negative,0
fantastic support team #1957,fantastic support team,positive,2
would not recommend #9779,would recommend,negative,0
worst experience ever #905,bad experience ever,negative,0
totally disappointed with this #942,totally disappointed,negative,0
this made my day #3809,make day,positive,2
terrible quality #3179,terrible quality,negative,0
terrible quality #7080,terrible quality,negative,0
so frustrated right now #5226,frustrate right,negative,0
worst experience ever #2806,bad experience ever,negative,0
so happy with this #7508,happy,positive,2
so frustrated right now #6072,frustrate right,negative,0
standard procedure #811,standard procedure,neutral,1
the meeting is at 3pm #675,meeting 3pm,neutral,1
waste of time #2780,waste time,negative,0
link attached for reference #178,link attach reference,neutral,1
as expected #6935,expect,neutral,1
highly recommend #67,highly recommend,positive,2
excellent quality #9510,excellent quality,positive,2
worst experience ever #8266,bad experience ever,negative,0
ok thanks #5374,ok thanks,neutral,1
loving this so much #7769,love much,positive,2
waste of time #5780,waste time,negative,0
as expected #5496,expect,neutral,1
will follow up later #7257,follow later,neutral,1
this made my day #4549,make day,positive,2
so happy with this #4792,happy,positive,2
would not recommend #6316,would recommend,negative,0
so happy with this #2953,happy,positive,2
so frustrated right now #7936,frustrate right,negative,0
waste of time #2069,waste time,negative,0
this made my day #9192,make day,positive,2
great experience #9151,great experience,positive,2
worst experience ever #7600,bad experience ever,negative,0
so frustrated right now #3946,frustrate right,negative,0
best day ever #5555,best day ever,positive,2
totally disappointed with this #8523,totally disappointed,negative,0
best day ever #5910,best day ever,positive,2
totally disappointed with this #6555,totally disappointed,negative,0
best day ever #9693,best day ever,positive,2
waste of time #5882,waste time,negative,0
noted for the record #2771,note record,neutral,1
the meeting is at 3pm #8205,meeting 3pm,neutral,1
this made my day #8221,make day,positive,2
so frustrated right now #6629,frustrate right,negative,0
terrible quality #4048,terrible quality,negative,0
see you tomorrow #1983,see tomorrow,neutral,1
hate this update #8485,hate update,negative,0
terrible quality #8435,terrible quality,negative,0
highly recommend #7292,highly recommend,positive,2
highly recommend #730,highly recommend,positive,2
best day ever #6533,best day ever,positive,2
terrible quality #1197,terrible quality,negative,0
highly recommend #7052,highly recommend,positive,2
best day ever #2444,best day ever,positive,2
as expected #2634,expect,neutral,1
worst experience ever #3767,bad experience ever,negative,0
so frustrated right now #5952,frustrate right,negative,0
loving this so much #7149,love much,positive,2
terrible quality #660,terrible quality,negative,0
totally disappointed with this #6594,totally disappointed,negative,0
excellent quality #5440,excellent quality,positive,2
this is awful #8005,awful,negative,0
standard procedure #8877,standard procedure,neutral,1
would not recommend #9358,would recommend,negative,0
worst experience ever #5664,bad experience ever,negative,0
excellent quality #3303,excellent quality,positive,2
hate this update #2890,hate update,negative,0
excellent quality #8281,excellent quality,positive,2
link attached for reference #6323,link attach reference,neutral,1
as expected #6967,expect,neutral,1
great experience #5120,great experience,positive,2
ok thanks #2851,ok thanks,neutral,1
ok thanks #2219,ok thanks,neutral,1
noted for the record #8564,note record,neutral,1
great experience #4029,great experience,positive,2
see you tomorrow #4148,see tomorrow,neutral,1
hate this update #2367,hate update,negative,0
great experience #8038,great experience,positive,2
this is awful #7257,awful,negative,0
this is awful #3744,awful,negative,0
best day ever #3513,best day ever,positive,2
best day ever #6620,best day ever,positive,2
fantastic support team #2738,fantastic support team,positive,2
the meeting is at 3pm #3246,meeting 3pm,neutral,1
the meeting is at 3pm #7766,meeting 3pm,neutral,1
totally disappointed with this #5643,totally disappointed,negative,0
see you tomorrow #6889,see tomorrow,neutral,1
excellent quality #2570,excellent quality,positive,2
terrible quality #9355,terrible quality,negative,0
see you tomorrow #5111,see tomorrow,neutral,1
as expected #5293,expect,neutral,1
loving this so much #350,love much,positive,2
terrible quality #5669,terrible quality,negative,0
so frustrated right now #9025,frustrate right,negative,0
this is awful #6448,awful,negative,0
worst experience ever #9239,bad experience ever,negative,0
the meeting is at 3pm #1881,meeting 3pm,neutral,1
loving this so much #7657,love much,positive,2
waste of time #3405,waste time,negative,0
terrible quality #1437,terrible quality,negative,0
the meeting is at 3pm #9699,meeting 3pm,neutral,1
ok thanks #3177,ok thanks,neutral,1
would not recommend #1784,would recommend,negative,0
this made my day #4488,make day,positive,2
best day ever #9425,best day ever,positive,2
fantastic support team #8567,fantastic support team,positive,2
will follow up later #5264,follow later,neutral,1
excellent quality #5568,excellent quality,positive,2
link attached for reference #613,link attach reference,neutral,1
hate this update #4166,hate update,negative,0
hate this update #8575,hate update,negative,0
would not recommend #4367,would recommend,negative,0
see you tomorrow #6527,see tomorrow,neutral,1
fantastic support team #2790,fantastic support team,positive,2
excellent quality #4595,excellent quality,positive,2
see you tomorrow #2169,see tomorrow,neutral,1
so frustrated right now #8655,frustrate right,negative,0
this is awful #9184,awful,negative,0
highly recommend #8045,highly recommend,positive,2
link attached for reference #9988,link attach reference,neutral,1
waste of time #3215,waste time,negative,0
great experience #6196,great experience,positive,2
this is awful #3586,awful,negative,0
see you tomorrow #6103,see tomorrow,neutral,1
worst experience ever #2122,bad experience ever,negative,0
see you tomorrow #5922,see tomorrow,neutral,1
would not recommend #9433,would recommend,negative,0
as expected #1281,expect,neutral,1
will follow up later #6852,follow later,neutral,1
waste of time #3441,waste time,negative,0
standard procedure #1033,standard procedure,neutral,1
hate this update #1506,hate update,negative,0
so happy with this #8504,happy,positive,2
the meeting is at 3pm #9580,meeting 3pm,neutral,1
best day ever #9203,best day ever,positive,2
so frustrated right now #2551,frustrate right,negative,0
waste of time #2017,waste time,negative,0
totally disappointed with this #2493,totally disappointed,negative,0
loving this so much #9441,love much,positive,2
standard procedure #3695,standard procedure,neutral,1
standard procedure #8641,standard procedure,neutral,1
hate this update #2143,hate update,negative,0
worst experience ever #2460,bad experience ever,negative,0
standard procedure #328,standard procedure,neutral,1
fantastic support team #474,fantastic support team,positive,2
great experience #247,great experience,positive,2
the meeting is at 3pm #5876,meeting 3pm,neutral,1
would not recommend #6599,would recommend,negative,0
fantastic support team #420,fantastic support team,positive,2
ok thanks #5736,ok thanks,neutral,1
this is awful #9933,awful,negative,0
link attached for reference #5942,link attach reference,neutral,1
would not recommend #800,would recommend,negative,0
waste of time #5859,waste time,negative,0
so happy with this #4350,happy,positive,2
ok thanks #2472,ok thanks,neutral,1
see you tomorrow #8267,see tomorrow,neutral,1
noted for the record #691,note record,neutral,1
totally disappointed with this #5554,totally disappointed,negative,0
will follow up later #386,follow later,neutral,1
noted for the record #5025,note record,neutral,1
fantastic support team #4278,fantastic support team,positive,2
best day ever #7497,best day ever,positive,2
as expected #6384,expect,neutral,1
waste of time #2191,waste time,negative,0
great experience #1528,great experience,positive,2
so happy with this #5125,happy,positive,2
so happy with this #8607,happy,positive,2
so frustrated right now #4388,frustrate right,negative,0
link attached for reference #6201,link attach reference,neutral,1
excellent quality #5921,excellent quality,positive,2
noted for the record #2117,note record,neutral,1
ok thanks #900,ok thanks,neutral,1
will follow up later #1057,follow later,neutral,1
totally disappointed with this #6857,totally disappointed,negative,0
see you tomorrow #5681,see tomorrow,neutral,1
so happy with this #4419,happy,positive,2
waste of time #4079,waste time,negative,0
hate this update #4798,hate update,negative,0
fantastic support team #4140,fantastic support team,positive,2
noted for the record #2853,note record,neutral,1
see you tomorrow #3268,see tomorrow,neutral,1
fantastic support team #4889,fantastic support team,positive,2
link attached for reference #3397,link attach reference,neutral,1
waste of time #4823,waste time,negative,0
this is awful #1402,awful,negative,0
totally disappointed with this #4969,totally disappointed,negative,0
waste of time #2326,waste time,negative,0
this is awful #2864,awful,negative,0
great experience #5307,great experience,positive,2
terrible quality #9903,terrible quality,negative,0
link attached for reference #701,link attach reference,neutral,1
terrible quality #1719,terrible quality,negative,0
so frustrated right now #2705,frustrate right,negative,0
as expected #1617,expect,neutral,1
would not recommend #5871,would recommend,negative,0
worst experience ever #7773,bad experience ever,negative,0
highly recommend #903,highly recommend,positive,2
link attached for reference #1005,link attach reference,neutral,1
see you tomorrow #8291,see tomorrow,neutral,1
fantastic support team #5566,fantastic support team,positive,2
this is awful #9274,awful,negative,0
excellent quality #122,excellent quality,positive,2
terrible quality #1311,terrible quality,negative,0
totally disappointed with this #5529,totally disappointed,negative,0
totally disappointed with this #9187,totally disappointed,negative,0
loving this so much #3720,love much,positive,2
loving this so much #7117,love much,positive,2
fantastic support team #5629,fantastic support team,positive,2
this made my day #268,make day,positive,2
loving this so much #5012,love much,positive,2
see you tomorrow #8205,see tomorrow,neutral,1
worst experience ever #1011,bad experience ever,negative,0
worst experience ever #7721,bad experience ever,negative,0
standard procedure #3448,standard procedure,neutral,1
highly recommend #3863,highly recommend,positive,2
this is awful #9488,awful,negative,0
fantastic support team #1810,fantastic support team,positive,2
best day ever #1144,best day ever,positive,2
will follow up later #1686,follow later,neutral,1
as expected #6390,expect,neutral,1
terrible quality #1386,terrible quality,negative,0
would not recommend #9708,would recommend,negative,0
so frustrated right now #8009,frustrate right,negative,0
this made my day #8359,make day,positive,2
so frustrated right now #4191,frustrate right,negative,0
the meeting is at 3pm #2597,meeting 3pm,neutral,1
fantastic support team #4041,fantastic support team,positive,2
excellent quality #4123,excellent quality,positive,2
highly recommend #3281,highly recommend,positive,2
the meeting is at 3pm #8497,meeting 3pm,neutral,1
so frustrated right now #848,frustrate right,negative,0
this made my day #1829,make day,positive,2
as expected #1492,expect,neutral,1
standard procedure #4962,standard procedure,neutral,1
as expected #1859,expect,neutral,1
highly recommend #873,highly recommend,positive,2
this is awful #1676,awful,negative,0
see you tomorrow #1509,see tomorrow,neutral,1
the meeting is at 3pm #5561,meeting 3pm,neutral,1
would not recommend #1092,would recommend,negative,0
great experience #3223,great experience,positive,2
great experience #1887,great experience,positive,2
the meeting is at 3pm #6652,meeting 3pm,neutral,1
ok thanks #4139,ok thanks,neutral,1
fantastic support team #4580,fantastic support team,positive,2
fantastic support team #2728,fantastic support team,positive,2
would not recommend #4698,would recommend,negative,0
highly recommend #5642,highly recommend,positive,2
will follow up later #7119,follow later,neutral,1
totally disappointed with this #5649,totally disappointed,negative,0
great experience #2201,great experience,positive,2
totally disappointed with this #8246,totally disappointed,negative,0
the meeting is at 3pm #7739,meeting 3pm,neutral,1
so frustrated right now #6424,frustrate right,negative,0
excellent quality #3247,excellent quality,positive,2
noted for the record #9697,note record,neutral,1
noted for the record #2455,note record,neutral,1
standard procedure #3519,standard procedure,neutral,1
fantastic support team #1174,fantastic support team,positive,2
fantastic support team #5249,fantastic support team,positive,2
the meeting is at 3pm #907,meeting 3pm,neutral,1
terrible quality #300,terrible quality,negative,0
excellent quality #8988,excellent quality,positive,2
ok thanks #4716,ok thanks,neutral,1
best day ever #9602,best day ever,positive,2
excellent quality #6559,excellent quality,positive,2
hate this update #7423,hate update,negative,0
excellent quality #1750,excellent quality,positive,2
will follow up later #9134,follow later,neutral,1
so happy with this #5887,happy,positive,2
standard procedure #9948,standard procedure,neutral,1
so frustrated right now #6201,frustrate right,negative,0
so happy with this #6733,happy,positive,2
highly recommend #3017,highly recommend,positive,2
ok thanks #938,ok thanks,neutral,1
best day ever #5192,best day ever,positive,2
this is awful #9275,awful,negative,0
would not recommend #1576,would recommend,negative,0
best day ever #3141,best day ever,positive,2
would not recommend #2188,would recommend,negative,0
noted for the record #2725,note record,neutral,1
this made my day #2230,make day,positive,2
great experience #3852,great experience,positive,2
standard procedure #6551,standard procedure,neutral,1
this made my day #8682,make day,positive,2
waste of time #5911,waste time,negative,0
as expected #9723,expect,neutral,1
so frustrated right now #3972,frustrate right,negative,0
hate this update #4258,hate update,negative,0
fantastic support team #1382,fantastic support team,positive,2
waste of time #2953,waste time,negative,0
waste of time #3722,waste time,negative,0
noted for the record #7037,note record,neutral,1
the meeting is at 3pm #2266,meeting 3pm,neutral,1
waste of time #5434,waste time,negative,0
hate this update #5789,hate update,negative,0
this is awful #2574,awful,negative,0
best day ever #8779,best day ever,positive,2
noted for the record #8194,note record,neutral,1
highly recommend #2707,highly recommend,positive,2
best day ever #6382,best day ever,positive,2
worst experience ever #9917,bad experience ever,negative,0
so happy with this #3312,happy,positive,2
totally disappointed with this #5876,totally disappointed,negative,0
hate this update #9592,hate update,negative,0
best day ever #3238,best day ever,positive,2
so frustrated right now #5929,frustrate right,negative,0
will follow up later #2384,follow later,neutral,1
standard procedure #6316,standard procedure,neutral,1
so happy with this #334,happy,positive,2
standard procedure #7757,standard procedure,neutral,1
loving this so much #7569,love much,positive,2
waste of time #9970,waste time,negative,0
loving this so much #6024,love much,positive,2
waste of time #8527,waste time,negative,0
see you tomorrow #271,see tomorrow,neutral,1
this is awful #4793,awful,negative,0
link attached for reference #8358,link attach reference,neutral,1
the meeting is at 3pm #7240,meeting 3pm,neutral,1
hate this update #5679,hate update,negative,0
